run_id,target,class,threshold,n_gt,recall
e1_1_y26,ctg_robustness_holdout_bohoddarhat2_eval,person,0.45,857,0.3046
e1_1_y26,ctg_robustness_holdout_bohoddarhat2_eval,priority_vehicle,0.45,6,0.0
e1_1_y26,ctg_robustness_holdout_bohoddarhat2_eval,three_wheeler,0.45,437,0.4233
e1_1_y26,ctg_robustness_holdout_bohoddarhat2_eval,truck,0.45,29,0.2414
e1_2_y26,ctg_pooled_eval,auto_rickshaw,0.39,1796,0.4861
e1_2_y26,ctg_pooled_eval,bicycle,0.39,19,0.0
e1_2_y26,ctg_pooled_eval,bus,0.39,411,0.3601
e1_2_y26,ctg_pooled_eval,car,0.39,1122,0.4848
e1_2_y26,ctg_pooled_eval,cart_vehicle,0.39,19,0.0
e1_2_y26,ctg_pooled_eval,construction_vehicle,0.39,11,0.0
e1_2_y26,ctg_pooled_eval,motorbike,0.39,401,0.4539
e1_2_y26,ctg_pooled_eval,person,0.39,2509,0.2878
e1_2_y26,ctg_pooled_eval,priority_vehicle,0.39,8,0.0
e1_2_y26,ctg_pooled_eval,three_wheeler,0.39,988,0.331
e1_2_y26,ctg_pooled_eval,truck,0.39,668,0.2605
e1_2_y26,dhaka_fold2_eval,auto_rickshaw,0.39,174,0.8333
e1_2_y26,dhaka_fold2_eval,bicycle,0.39,18,0.1111
e1_2_y26,dhaka_fold2_eval,bus,0.39,431,0.4617
e1_2_y26,dhaka_fold2_eval,car,0.39,519,0.7264
e1_2_y26,dhaka_fold2_eval,cart_vehicle,0.39,1,0.0
e1_2_y26,dhaka_fold2_eval,construction_vehicle,0.39,2,0.0
e1_2_y26,dhaka_fold2_eval,motorbike,0.39,185,0.6054
e1_2_y26,dhaka_fold2_eval,person,0.39,662,0.6798
e1_2_y26,dhaka_fold2_eval,priority_vehicle,0.39,8,0.0
e1_2_y26,dhaka_fold2_eval,three_wheeler,0.39,430,0.7465
e1_2_y26,dhaka_fold2_eval,truck,0.39,381,0.622
e1_2_y26,ctg_robustness_holdout_bohoddarhat1_eval,auto_rickshaw,0.39,444,0.518
e1_2_y26,ctg_robustness_holdout_bohoddarhat1_eval,bicycle,0.39,1,0.0
e1_2_y26,ctg_robustness_holdout_bohoddarhat1_eval,bus,0.39,139,0.223
e1_2_y26,ctg_robustness_holdout_bohoddarhat1_eval,car,0.39,215,0.6233
e1_2_y26,ctg_robustness_holdout_bohoddarhat1_eval,cart_vehicle,0.39,9,0.0
e1_2_y26,ctg_robustness_holdout_bohoddarhat1_eval,construction_vehicle,0.39,6,0.0
e1_2_y26,ctg_robustness_holdout_bohoddarhat1_eval,motorbike,0.39,95,0.4526
e1_2_y26,ctg_robustness_holdout_bohoddarhat1_eval,person,0.39,645,0.3504
e1_2_y26,ctg_robustness_holdout_bohoddarhat1_eval,priority_vehicle,0.39,2,0.0
e1_2_y26,ctg_robustness_holdout_bohoddarhat1_eval,three_wheeler,0.39,367,0.2807
e1_2_y26,ctg_robustness_holdout_bohoddarhat1_eval,truck,0.39,211,0.1896
e1_2_y26,ctg_robustness_holdout_bohoddarhat2_eval,auto_rickshaw,0.39,386,0.5777
e1_2_y26,ctg_robustness_holdout_bohoddarhat2_eval,bicycle,0.39,5,0.0
e1_2_y26,ctg_robustness_holdout_bohoddarhat2_eval,bus,0.39,14,0.5714
e1_2_y26,ctg_robustness_holdout_bohoddarhat2_eval,car,0.39,310,0.5484
e1_2_y26,ctg_robustness_holdout_bohoddarhat2_eval,cart_vehicle,0.39,4,0.0
e1_2_y26,ctg_robustness_holdout_bohoddarhat2_eval,construction_vehicle,0.39,1,0.0
e1_2_y26,ctg_robustness_holdout_bohoddarhat2_eval,motorbike,0.39,129,0.3333
e1_2_y26,ctg_robustness_holdout_bohoddarhat2_eval,person,0.39,857,0.3116
e1_2_y26,ctg_robustness_holdout_bohoddarhat2_eval,priority_vehicle,0.39,6,0.0
e1_2_y26,ctg_robustness_holdout_bohoddarhat2_eval,three_wheeler,0.39,437,0.4096
e1_2_y26,ctg_robustness_holdout_bohoddarhat2_eval,truck,0.39,29,0.3103
e2_0_y26,ctg_fold0_eval,auto_rickshaw,0.41,592,0.7382
e2_0_y26,ctg_fold0_eval,bicycle,0.41,10,0.0
e2_0_y26,ctg_fold0_eval,bus,0.41,144,0.4167
e2_0_y26,ctg_fold0_eval,car,0.41,261,0.4713
e2_0_y26,ctg_fold0_eval,cart_vehicle,0.41,9,0.0
e2_0_y26,ctg_fold0_eval,construction_vehicle,0.41,8,0.0
e2_0_y26,ctg_fold0_eval,motorbike,0.41,117,0.4359
e2_0_y26,ctg_fold0_eval,person,0.41,898,0.3619
e2_0_y26,ctg_fold0_eval,priority_vehicle,0.41,0,
e2_0_y26,ctg_fold0_eval,three_wheeler,0.41,366,0.6448
e2_0_y26,ctg_fold0_eval,truck,0.41,307,0.2443
e2_0_y26,dhaka_fold0_eval,auto_rickshaw,0.41,339,0.6814
e2_0_y26,dhaka_fold0_eval,bicycle,0.41,49,0.0
e2_0_y26,dhaka_fold0_eval,bus,0.41,405,0.2444
e2_0_y26,dhaka_fold0_eval,car,0.41,735,0.6068
e2_0_y26,dhaka_fold0_eval,cart_vehicle,0.41,19,0.0
e2_0_y26,dhaka_fold0_eval,construction_vehicle,0.41,0,
e2_0_y26,dhaka_fold0_eval,motorbike,0.41,368,0.5462
e2_0_y26,dhaka_fold0_eval,person,0.41,1690,0.426
e2_0_y26,dhaka_fold0_eval,priority_vehicle,0.41,9,0.0
e2_0_y26,dhaka_fold0_eval,three_wheeler,0.41,616,0.5049
e2_0_y26,dhaka_fold0_eval,truck,0.41,267,0.1236
e2_1_y26,ctg_fold1_eval,auto_rickshaw,0.31,636,0.7343
e2_1_y26,ctg_fold1_eval,bicycle,0.31,0,
e2_1_y26,ctg_fold1_eval,bus,0.31,100,0.22
e2_1_y26,ctg_fold1_eval,car,0.31,445,0.6045
e2_1_y26,ctg_fold1_eval,cart_vehicle,0.31,1,0.0
e2_1_y26,ctg_fold1_eval,construction_vehicle,0.31,3,0.0
e2_1_y26,ctg_fold1_eval,motorbike,0.31,64,0.4375
e2_1_y26,ctg_fold1_eval,person,0.31,677,0.4165
e2_1_y26,ctg_fold1_eval,priority_vehicle,0.31,6,0.0
e2_1_y26,ctg_fold1_eval,three_wheeler,0.31,371,0.6146
e2_1_y26,ctg_fold1_eval,truck,0.31,210,0.6095
e2_1_y26,dhaka_fold1_eval,auto_rickshaw,0.31,285,0.7158
e2_1_y26,dhaka_fold1_eval,bicycle,0.31,56,0.0
e2_1_y26,dhaka_fold1_eval,bus,0.31,235,0.2851
e2_1_y26,dhaka_fold1_eval,car,0.31,822,0.5998
e2_1_y26,dhaka_fold1_eval,cart_vehicle,0.31,6,0.0
e2_1_y26,dhaka_fold1_eval,construction_vehicle,0.31,3,0.0
e2_1_y26,dhaka_fold1_eval,motorbike,0.31,320,0.6094
e2_1_y26,dhaka_fold1_eval,person,0.31,991,0.5499
e2_1_y26,dhaka_fold1_eval,priority_vehicle,0.31,22,0.0
e2_1_y26,dhaka_fold1_eval,three_wheeler,0.31,385,0.5688
e2_1_y26,dhaka_fold1_eval,truck,0.31,403,0.2357
e2_2_y26,ctg_fold2_eval,auto_rickshaw,0.37,568,0.7641
e2_2_y26,ctg_fold2_eval,bicycle,0.37,9,0.0
e2_2_y26,ctg_fold2_eval,bus,0.37,167,0.2575
e2_2_y26,ctg_fold2_eval,car,0.37,416,0.6034
e2_2_y26,ctg_fold2_eval,cart_vehicle,0.37,9,0.0
e2_2_y26,ctg_fold2_eval,construction_vehicle,0.37,0,
e2_2_y26,ctg_fold2_eval,motorbike,0.37,220,0.35
e2_2_y26,ctg_fold2_eval,person,0.37,934,0.3458
e2_2_y26,ctg_fold2_eval,priority_vehicle,0.37,2,0.0
e2_2_y26,ctg_fold2_eval,three_wheeler,0.37,251,0.4024
e2_2_y26,ctg_fold2_eval,truck,0.37,151,0.4371
e2_2_y26,dhaka_fold2_eval,auto_rickshaw,0.37,174,0.8563
e2_2_y26,dhaka_fold2_eval,bicycle,0.37,18,0.0
e2_2_y26,dhaka_fold2_eval,bus,0.37,431,0.2738
e2_2_y26,dhaka_fold2_eval,car,0.37,519,0.6358
e2_2_y26,dhaka_fold2_eval,cart_vehicle,0.37,1,0.0
e2_2_y26,dhaka_fold2_eval,construction_vehicle,0.37,2,0.0
e2_2_y26,dhaka_fold2_eval,motorbike,0.37,185,0.5676
e2_2_y26,dhaka_fold2_eval,person,0.37,662,0.5755
e2_2_y26,dhaka_fold2_eval,priority_vehicle,0.37,8,0.0
e2_2_y26,dhaka_fold2_eval,three_wheeler,0.37,430,0.6814
e2_2_y26,dhaka_fold2_eval,truck,0.37,381,0.2887
rob_a_y26,ctg_robustness_holdout_bohoddarhat1_eval,auto_rickshaw,0.363,444,0.5833
rob_a_y26,ctg_robustness_holdout_bohoddarhat1_eval,bicycle,0.363,1,0.0
rob_a_y26,ctg_robustness_holdout_bohoddarhat1_eval,bus,0.363,139,0.1151
rob_a_y26,ctg_robustness_holdout_bohoddarhat1_eval,car,0.363,215,0.6977
rob_a_y26,ctg_robustness_holdout_bohoddarhat1_eval,cart_vehicle,0.363,9,0.0
rob_a_y26,ctg_robustness_holdout_bohoddarhat1_eval,construction_vehicle,0.363,6,0.0
rob_a_y26,ctg_robustness_holdout_bohoddarhat1_eval,motorbike,0.363,95,0.4632
rob_a_y26,ctg_robustness_holdout_bohoddarhat1_eval,person,0.363,645,0.4264
rob_a_y26,ctg_robustness_holdout_bohoddarhat1_eval,priority_vehicle,0.363,2,0.0
rob_a_y26,ctg_robustness_holdout_bohoddarhat1_eval,three_wheeler,0.363,367,0.5695
