epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,740.008,0.92318,0.53659,0.9518,0.94062,0.91584,0.96163,0.78113,0.86669,0.45708,0.88172,0.002872,0.002872,0.002872
74,750.089,0.89475,0.5192,0.94152,0.92427,0.90829,0.96486,0.77157,0.85551,0.46089,0.87608,0.002773,0.002773,0.002773
75,760.693,0.92631,0.53779,0.94881,0.93399,0.91311,0.96315,0.76974,0.86835,0.45947,0.87835,0.002674,0.002674,0.002674
76,770.869,0.89435,0.51402,0.93709,0.93697,0.92227,0.96546,0.78719,0.8419,0.44864,0.87084,0.002575,0.002575,0.002575
77,780.867,0.91189,0.53084,0.9488,0.93503,0.93646,0.96797,0.78523,0.8207,0.44143,0.86463,0.002476,0.002476,0.002476
78,791.072,0.88017,0.50989,0.93441,0.94295,0.91676,0.97034,0.795,0.82481,0.44456,0.8672,0.002377,0.002377,0.002377
79,801.145,0.8949,0.51253,0.93659,0.93778,0.91878,0.9683,0.79675,0.80618,0.43459,0.86149,0.002278,0.002278,0.002278
80,811.248,0.8815,0.50945,0.93208,0.93232,0.91707,0.96809,0.79866,0.80973,0.43216,0.86743,0.002179,0.002179,0.002179
81,821.356,0.86445,0.50129,0.92915,0.92609,0.92955,0.97062,0.78578,0.80973,0.4308,0.86234,0.00208,0.00208,0.00208
82,831.764,0.88141,0.5025,0.93306,0.92946,0.92009,0.97014,0.81163,0.81135,0.4357,0.86599,0.001981,0.001981,0.001981
83,841.982,0.85941,0.49005,0.92398,0.9387,0.91883,0.96966,0.79585,0.82422,0.43279,0.86179,0.001882,0.001882,0.001882
84,852.276,0.87768,0.50244,0.93164,0.92529,0.92929,0.97023,0.79053,0.80678,0.42923,0.85859,0.001783,0.001783,0.001783
85,862.394,0.84638,0.49013,0.92102,0.92788,0.92773,0.96925,0.80455,0.79804,0.42364,0.85553,0.001684,0.001684,0.001684
86,872.35,0.85461,0.48803,0.92656,0.93076,0.93286,0.97302,0.79104,0.77931,0.41465,0.85035,0.001585,0.001585,0.001585
87,882.332,0.84649,0.49035,0.91739,0.93102,0.93074,0.97165,0.78836,0.77019,0.41295,0.85007,0.001486,0.001486,0.001486
88,892.256,0.83744,0.47192,0.91626,0.92632,0.92997,0.97115,0.7969,0.76562,0.40945,0.85057,0.001387,0.001387,0.001387
89,902.278,0.82687,0.47411,0.92196,0.93278,0.92584,0.97359,0.79608,0.75025,0.40606,0.84736,0.001288,0.001288,0.001288
90,912.415,0.81698,0.46923,0.91664,0.93268,0.92814,0.97278,0.82087,0.75194,0.40946,0.84766,0.001189,0.001189,0.001189
