epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
69,910.291,1.43968,0.76348,0.00449,0.91907,0.89503,0.94584,0.69154,1.28759,0.60624,0.00579,0.003268,0.003268,0.003268
70,923.14,1.45482,0.78923,0.0044,0.93592,0.90494,0.9523,0.70558,1.26578,0.59054,0.00571,0.003169,0.003169,0.003169
71,935.95,1.45787,0.78144,0.00432,0.9554,0.79206,0.95316,0.71531,1.2634,0.56814,0.00567,0.00307,0.00307,0.00307
72,948.924,1.40901,0.7578,0.00427,0.94015,0.89925,0.9514,0.70862,1.26908,0.59616,0.00565,0.002971,0.002971,0.002971
73,961.797,1.4411,0.76831,0.00419,0.92304,0.90854,0.95452,0.71127,1.23885,0.56743,0.00561,0.002872,0.002872,0.002872
74,974.885,1.40643,0.74952,0.00425,0.92956,0.91454,0.95595,0.71826,1.19803,0.56872,0.00537,0.002773,0.002773,0.002773
75,987.829,1.42801,0.76579,0.0044,0.95022,0.91235,0.95113,0.72175,1.21416,0.56533,0.00542,0.002674,0.002674,0.002674
76,1000.67,1.3957,0.73578,0.00425,0.94567,0.90489,0.94985,0.72258,1.19552,0.56362,0.00528,0.002575,0.002575,0.002575
77,1013.42,1.40182,0.75831,0.00431,0.944,0.88405,0.9513,0.72497,1.19504,0.59072,0.00527,0.002476,0.002476,0.002476
78,1026.47,1.39445,0.7344,0.00418,0.92955,0.90854,0.95187,0.72478,1.20222,0.56036,0.00537,0.002377,0.002377,0.002377
79,1039.51,1.42597,0.75503,0.00414,0.94341,0.90647,0.959,0.71027,1.23704,0.56679,0.00558,0.002278,0.002278,0.002278
80,1052.39,1.39478,0.72844,0.00407,0.93471,0.91989,0.96125,0.72265,1.20769,0.55653,0.00537,0.002179,0.002179,0.002179
81,1065.41,1.38065,0.71555,0.00413,0.92953,0.92019,0.96014,0.73474,1.2028,0.55893,0.00534,0.00208,0.00208,0.00208
82,1078.36,1.36093,0.71127,0.00405,0.94682,0.91592,0.95938,0.73316,1.19128,0.52462,0.00522,0.001981,0.001981,0.001981
83,1091.14,1.35908,0.704,0.00403,0.94408,0.91488,0.96048,0.73165,1.20105,0.52889,0.00525,0.001882,0.001882,0.001882
84,1104.14,1.37117,0.72415,0.00405,0.93132,0.90749,0.95681,0.72739,1.20503,0.52948,0.00528,0.001783,0.001783,0.001783
85,1116.93,1.35593,0.69983,0.00395,0.93736,0.90475,0.95265,0.73257,1.16192,0.53039,0.00502,0.001684,0.001684,0.001684
86,1130.1,1.3549,0.69846,0.00406,0.93563,0.91535,0.95674,0.7378,1.17055,0.54531,0.00506,0.001585,0.001585,0.001585
87,1142.94,1.37363,0.71162,0.00387,0.94162,0.91737,0.95986,0.73958,1.17111,0.55055,0.00512,0.001486,0.001486,0.001486
88,1155.75,1.31562,0.68505,0.00393,0.94484,0.91641,0.96113,0.74141,1.15562,0.51342,0.00494,0.001387,0.001387,0.001387
89,1168.59,1.36149,0.70387,0.00406,0.94726,0.91842,0.96584,0.74606,1.15572,0.52791,0.00502,0.001288,0.001288,0.001288
90,1181.44,1.32755,0.68714,0.00404,0.95007,0.91514,0.96392,0.73384,1.14647,0.52987,0.00495,0.001189,0.001189,0.001189
91,1195.73,1.34545,0.64662,0.00443,0.95187,0.91332,0.96372,0.72024,1.16015,0.5353,0.00503,0.00109,0.00109,0.00109
92,1208.32,1.32176,0.63071,0.00433,0.9441,0.92063,0.95892,0.72914,1.18345,0.54767,0.00518,0.000991,0.000991,0.000991
93,1220.87,1.3069,0.62176,0.00416,0.93666,0.92631,0.95865,0.71746,1.20466,0.56219,0.00521,0.000892,0.000892,0.000892
94,1233.4,1.28996,0.5958,0.00422,0.95124,0.91238,0.95989,0.72202,1.17326,0.54844,0.00515,0.000793,0.000793,0.000793
95,1245.87,1.28388,0.60347,0.00419,0.94502,0.91475,0.95968,0.73462,1.16541,0.53246,0.00506,0.000694,0.000694,0.000694
96,1258.33,1.28252,0.59306,0.00415,0.94597,0.91639,0.96124,0.73611,1.1357,0.52884,0.00491,0.000595,0.000595,0.000595
97,1270.84,1.2661,0.57631,0.00414,0.95059,0.91959,0.96224,0.73528,1.13584,0.52507,0.0049,0.000496,0.000496,0.000496
98,1283.45,1.27672,0.57815,0.00406,0.95191,0.91845,0.96256,0.72688,1.15005,0.51859,0.00493,0.000397,0.000397,0.000397
99,1296.45,1.26124,0.57017,0.00409,0.94641,0.921,0.96198,0.73626,1.13259,0.52334,0.00485,0.000298,0.000298,0.000298
100,1308.82,1.28116,0.59541,0.00409,0.94332,0.92255,0.96182,0.73574,1.14925,0.52013,0.00492,0.000199,0.000199,0.000199
