epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
57,723.251,1.48997,0.8379,0.00479,0.91559,0.89541,0.93322,0.65209,1.20962,0.6162,0.00594,0.004456,0.004456,0.004456
58,735.473,1.46059,0.81364,0.00469,0.92695,0.89139,0.93975,0.68887,1.19789,0.62946,0.00581,0.004357,0.004357,0.004357
59,747.822,1.46491,0.81259,0.00469,0.92431,0.87036,0.93364,0.67092,1.23203,0.60658,0.00594,0.004258,0.004258,0.004258
60,760.393,1.44079,0.80501,0.00466,0.93615,0.8829,0.94185,0.66692,1.21107,0.57182,0.00578,0.004159,0.004159,0.004159
61,772.631,1.47416,0.81472,0.00472,0.95294,0.88116,0.93463,0.64867,1.18733,0.60984,0.00575,0.00406,0.00406,0.00406
62,784.877,1.46107,0.80196,0.00448,0.89731,0.91946,0.93959,0.6718,1.18788,0.58156,0.00561,0.003961,0.003961,0.003961
63,797.17,1.42794,0.7914,0.00465,0.92593,0.90625,0.93694,0.69471,1.2206,0.56406,0.00581,0.003862,0.003862,0.003862
64,809.474,1.4183,0.76752,0.00446,0.961,0.8741,0.93708,0.68404,1.18081,0.5277,0.00566,0.003763,0.003763,0.003763
65,821.707,1.41173,0.77161,0.0044,0.92589,0.88572,0.9425,0.68933,1.17391,0.56292,0.00551,0.003664,0.003664,0.003664
66,833.957,1.42607,0.76333,0.00449,0.96123,0.88028,0.94401,0.68532,1.15271,0.5369,0.00537,0.003565,0.003565,0.003565
67,846.281,1.42852,0.77416,0.00435,0.93801,0.89986,0.94907,0.68139,1.17829,0.53722,0.00547,0.003466,0.003466,0.003466
68,858.663,1.42261,0.78529,0.00449,0.94612,0.8947,0.94378,0.6851,1.16654,0.56505,0.00544,0.003367,0.003367,0.003367
69,870.987,1.37506,0.72897,0.00442,0.93368,0.89475,0.94585,0.67785,1.15528,0.56431,0.00539,0.003268,0.003268,0.003268
70,883.288,1.4215,0.77337,0.0044,0.93696,0.90047,0.94912,0.69702,1.14092,0.54027,0.00523,0.003169,0.003169,0.003169
71,895.625,1.38853,0.74167,0.00434,0.94075,0.89532,0.94958,0.69414,1.15152,0.5095,0.00532,0.00307,0.00307,0.00307
72,907.961,1.37276,0.72355,0.00425,0.94009,0.88711,0.94712,0.68374,1.15513,0.51433,0.0053,0.002971,0.002971,0.002971
73,920.456,1.39295,0.7335,0.00419,0.94417,0.90021,0.94972,0.69892,1.1404,0.49214,0.00523,0.002872,0.002872,0.002872
74,932.729,1.34455,0.7035,0.00431,0.9519,0.90229,0.95634,0.71815,1.09737,0.4759,0.00505,0.002773,0.002773,0.002773
75,945.117,1.39961,0.73081,0.00432,0.93929,0.91681,0.95655,0.71556,1.13198,0.47299,0.0052,0.002674,0.002674,0.002674
76,957.354,1.37292,0.71747,0.00426,0.93603,0.89886,0.95228,0.70625,1.11727,0.50274,0.00515,0.002575,0.002575,0.002575
77,969.686,1.37643,0.73794,0.00429,0.94302,0.91135,0.95121,0.7089,1.09754,0.47709,0.00505,0.002476,0.002476,0.002476
78,982.034,1.36951,0.72014,0.00417,0.93043,0.90839,0.94901,0.70788,1.105,0.46863,0.00504,0.002377,0.002377,0.002377
79,994.313,1.3517,0.70969,0.00411,0.94564,0.89264,0.95397,0.71133,1.09348,0.46773,0.00496,0.002278,0.002278,0.002278
