epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
65,806.343,1.31661,0.74469,0.00497,0.93011,0.9071,0.95997,0.71249,1.22493,0.65488,0.00598,0.003664,0.003664,0.003664
66,818.437,1.30854,0.72221,0.00491,0.94087,0.90925,0.96124,0.71193,1.20215,0.6308,0.0058,0.003565,0.003565,0.003565
67,830.436,1.27635,0.72684,0.00473,0.93184,0.91133,0.95651,0.71777,1.24566,0.62806,0.00605,0.003466,0.003466,0.003466
68,842.537,1.27464,0.72111,0.00475,0.93538,0.91282,0.95812,0.72845,1.2138,0.60379,0.00584,0.003367,0.003367,0.003367
69,854.635,1.25684,0.68966,0.00489,0.93692,0.92027,0.96502,0.72901,1.24227,0.59479,0.00589,0.003268,0.003268,0.003268
70,866.708,1.26211,0.72375,0.00479,0.92684,0.93323,0.96071,0.73551,1.22256,0.5865,0.00579,0.003169,0.003169,0.003169
71,878.753,1.26813,0.71228,0.00473,0.94214,0.91139,0.95713,0.7237,1.20094,0.57111,0.0057,0.00307,0.00307,0.00307
72,890.911,1.26068,0.69082,0.00455,0.94508,0.907,0.95939,0.74124,1.19314,0.57068,0.00558,0.002971,0.002971,0.002971
73,903.226,1.24552,0.69321,0.0047,0.94388,0.90696,0.96288,0.72923,1.19957,0.58305,0.0056,0.002872,0.002872,0.002872
74,915.342,1.22799,0.66875,0.00464,0.94638,0.91286,0.96183,0.74119,1.16653,0.58953,0.00557,0.002773,0.002773,0.002773
75,927.334,1.25479,0.70501,0.00464,0.92858,0.92828,0.96397,0.72216,1.18004,0.56476,0.00556,0.002674,0.002674,0.002674
76,939.396,1.23089,0.67605,0.00452,0.94681,0.9103,0.96486,0.72185,1.15403,0.5668,0.00545,0.002575,0.002575,0.002575
77,951.428,1.23979,0.67971,0.00469,0.93825,0.91501,0.96152,0.7361,1.15126,0.55034,0.00538,0.002476,0.002476,0.002476
78,963.468,1.20551,0.66447,0.00443,0.93273,0.91407,0.96244,0.73912,1.12926,0.54862,0.00524,0.002377,0.002377,0.002377
79,975.508,1.23392,0.66285,0.00448,0.92954,0.91357,0.96145,0.72812,1.15272,0.56205,0.0053,0.002278,0.002278,0.002278
80,987.452,1.2206,0.66575,0.00445,0.94487,0.90812,0.96135,0.74726,1.14854,0.56778,0.00536,0.002179,0.002179,0.002179
81,999.535,1.20208,0.65345,0.00442,0.93514,0.91825,0.96337,0.74983,1.12454,0.54572,0.00522,0.00208,0.00208,0.00208
82,1011.66,1.206,0.64259,0.00446,0.93574,0.916,0.96316,0.75827,1.14096,0.54358,0.00529,0.001981,0.001981,0.001981
83,1023.73,1.20123,0.6285,0.00437,0.93353,0.91324,0.96502,0.76364,1.12438,0.53977,0.00517,0.001882,0.001882,0.001882
84,1035.8,1.22691,0.66595,0.00443,0.94558,0.91352,0.96523,0.7573,1.10276,0.54364,0.00508,0.001783,0.001783,0.001783
85,1047.88,1.17999,0.64644,0.00429,0.93279,0.91695,0.9664,0.7556,1.10006,0.56643,0.0051,0.001684,0.001684,0.001684
86,1059.94,1.19436,0.63318,0.00444,0.93643,0.91624,0.96676,0.75563,1.08163,0.51546,0.0049,0.001585,0.001585,0.001585
87,1072.25,1.19898,0.64378,0.00429,0.94109,0.91141,0.96799,0.76553,1.07801,0.51673,0.00497,0.001486,0.001486,0.001486
88,1084.31,1.19147,0.62417,0.00417,0.9411,0.90987,0.9639,0.76811,1.10925,0.52274,0.00504,0.001387,0.001387,0.001387
89,1096.43,1.17941,0.6094,0.0044,0.92657,0.91598,0.9665,0.77886,1.0845,0.51131,0.00495,0.001288,0.001288,0.001288
90,1108.51,1.16993,0.61257,0.00439,0.9394,0.92037,0.96594,0.76935,1.07835,0.52592,0.00495,0.001189,0.001189,0.001189
91,1122.34,1.19009,0.56337,0.00484,0.9266,0.9311,0.96201,0.77446,1.11057,0.54035,0.00522,0.00109,0.00109,0.00109
92,1134.25,1.17727,0.56219,0.00465,0.94367,0.92402,0.9615,0.77322,1.12686,0.54953,0.00523,0.000991,0.000991,0.000991
93,1146.04,1.14628,0.54155,0.0045,0.95253,0.91172,0.96357,0.76875,1.12506,0.58244,0.00525,0.000892,0.000892,0.000892
94,1157.82,1.15375,0.538,0.00459,0.94897,0.91567,0.96407,0.76514,1.12559,0.546,0.00518,0.000793,0.000793,0.000793
95,1169.55,1.1348,0.54707,0.00453,0.94984,0.91923,0.96285,0.76419,1.10027,0.54326,0.00509,0.000694,0.000694,0.000694
96,1181.36,1.11764,0.51255,0.00434,0.95364,0.91694,0.96401,0.76717,1.09357,0.52668,0.00502,0.000595,0.000595,0.000595
97,1193.07,1.12737,0.5206,0.00441,0.95003,0.91713,0.96298,0.74683,1.10689,0.54036,0.00505,0.000496,0.000496,0.000496
98,1204.83,1.13716,0.54435,0.0044,0.94872,0.91588,0.96288,0.75839,1.09217,0.54518,0.005,0.000397,0.000397,0.000397
99,1216.55,1.10741,0.50388,0.00437,0.94859,0.91631,0.96307,0.75973,1.09437,0.53698,0.00496,0.000298,0.000298,0.000298
100,1228.41,1.12287,0.52105,0.00442,0.95094,0.9137,0.96359,0.76017,1.09686,0.53935,0.00498,0.000199,0.000199,0.000199
